tconst,category,titleType,primaryTitle,isAdult,startYear,runtimeMinutes,genres,primaryName,averageRating,numVotes,title,region
tt0000591,actor,movie,The Prodigal Son,0,1907,90.0,Drama,Georges Wague,5.7,28,L'enfant prodigue,FR
tt0000591,actor,movie,The Prodigal Son,0,1907,90.0,Drama,Henri Gouget,5.7,28,L'enfant prodigue,FR
tt0000591,actress,movie,The Prodigal Son,0,1907,90.0,Drama,Christiane Mandelys,5.7,28,L'enfant prodigue,FR
tt0000591,actress,movie,The Prodigal Son,0,1907,90.0,Drama,Gilberte Sergy,5.7,28,L'enfant prodigue,FR
tt0001285,actor,movie,The Life of Moses,0,1909,50.0,"Biography,Drama,Family",Pat Hartigan,5.5,63,La Vie de Moïse,FR
tt0001285,actress,movie,The Life of Moses,0,1909,50.0,"Biography,Drama,Family",Julia Arthur,5.5,63,La Vie de Moïse,FR
tt0001285,actor,movie,The Life of Moses,0,1909,50.0,"Biography,Drama,Family",William Humphrey,5.5,63,La Vie de Moïse,FR
tt0001285,actor,movie,The Life of Moses,0,1909,50.0,"Biography,Drama,Family",Charles Kent,5.5,63,La Vie de Moïse,FR
tt0001285,actress,movie,The Life of Moses,0,1909,50.0,"Biography,Drama,Family",Edith Storey,5.5,63,La Vie de Moïse,FR
tt0001614,actor,movie,The Four Devils,0,1911,60.0,Drama,Robert Dinesen,6.5,43,Les Quatre Diables,FR
tt0001614,actress,movie,The Four Devils,0,1911,60.0,Drama,Edith Buemann,6.5,43,Les Quatre Diables,FR
tt0001614,actress,movie,The Four Devils,0,1911,60.0,Drama,Tilley Christiansen,6.5,43,Les Quatre Diables,FR
tt0001614,actor,movie,The Four Devils,0,1911,60.0,Drama,Carl Rosenbaum,6.5,43,Les Quatre Diables,FR
tt0001614,actress,movie,The Four Devils,0,1911,60.0,Drama,Agis Winding,6.5,43,Les Quatre Diables,FR
tt0001614,actor,movie,The Four Devils,0,1911,60.0,Drama,Einar Rosenbaum,6.5,43,Les Quatre Diables,FR
tt0001614,actor,movie,The Four Devils,0,1911,60.0,Drama,Alfred Lind,6.5,43,Les Quatre Diables,FR
tt0001614,actor,movie,The Four Devils,0,1911,60.0,Drama,Carré,6.5,43,Les Quatre Diables,FR
tt0001614,actor,movie,The Four Devils,0,1911,60.0,Drama,Aage Hertel,6.5,43,Les Quatre Diables,FR
tt0001614,actress,movie,The Four Devils,0,1911,60.0,Drama,Lili Lani,6.5,43,Les Quatre Diables,FR
tt0001790,actor,movie,"Les Misérables, Part 1: Jean Valjean",0,1913,60.0,Drama,Henry Krauss,6.0,53,Les misérables - Époque 1: Jean Valjean,FR
tt0001790,actor,movie,"Les Misérables, Part 1: Jean Valjean",0,1913,60.0,Drama,Henri Étiévant,6.0,53,Les misérables - Époque 1: Jean Valjean,FR
tt0001790,actress,movie,"Les Misérables, Part 1: Jean Valjean",0,1913,60.0,Drama,Maria Ventura,6.0,53,Les misérables - Époque 1: Jean Valjean,FR
tt0001790,actress,movie,"Les Misérables, Part 1: Jean Valjean",0,1913,60.0,Drama,Mistinguett,6.0,53,Les misérables - Époque 1: Jean Valjean,FR
tt0001790,actress,movie,"Les Misérables, Part 1: Jean Valjean",0,1913,60.0,Drama,Maria Fromet,6.0,53,Les misérables - Époque 1: Jean Valjean,FR
tt0001790,actor,movie,"Les Misérables, Part 1: Jean Valjean",0,1913,60.0,Drama,Gabriel de Gravone,6.0,53,Les misérables - Époque 1: Jean Valjean,FR
tt0001790,actor,movie,"Les Misérables, Part 1: Jean Valjean",0,1913,60.0,Drama,Émile Mylo,6.0,53,Les misérables - Époque 1: Jean Valjean,FR
tt0001790,actress,movie,"Les Misérables, Part 1: Jean Valjean",0,1913,60.0,Drama,Delphine Renot,6.0,53,Les misérables - Époque 1: Jean Valjean,FR
tt0001790,actor,movie,"Les Misérables, Part 1: Jean Valjean",0,1913,60.0,Drama,Jean Angelo,6.0,53,Les misérables - Époque 1: Jean Valjean,FR
tt0001790,actor,movie,"Les Misérables, Part 1: Jean Valjean",0,1913,60.0,Drama,Anthonin,6.0,53,Les misérables - Époque 1: Jean Valjean,FR
tt0002130,actor,movie,Dante's Inferno,0,1911,71.0,"Adventure,Drama,Fantasy",Salvatore Papa,7.0,3651,L'Enfer,FR
tt0002130,actor,movie,Dante's Inferno,0,1911,71.0,"Adventure,Drama,Fantasy",Arturo Pirovano,7.0,3651,L'Enfer,FR
