category,titleType,Title,Adult,l'année,Durée,Genre,Acteur/Actrice,Rating,NumberVote
actor,movie,Asunción,0,2021,\N,Drama,Paco Saldaña,10.0,6
actor,movie,Serpentine Pink,0,2022,\N,"Comedy,Drama,Thriller",Gregory Cruz,10.0,11
actor,movie,Serpentine Pink,0,2022,\N,"Comedy,Drama,Thriller",Michael Harris,10.0,11
actress,movie,Dead Fun,0,2024,61,"Comedy,Horror",Coco Taylor,10.0,6
actor,movie,Dead Fun,0,2024,61,"Comedy,Horror",Emmanuel Forson,10.0,6
actress,movie,Dead Fun,0,2024,61,"Comedy,Horror",Jereca Tafari,10.0,6
actor,movie,Dead Fun,0,2024,61,"Comedy,Horror",Harry Rose,10.0,6
actor,movie,Dead Fun,0,2024,61,"Comedy,Horror",Vidal Logie,10.0,6
actor,movie,Anne and Andy,0,2017,110,"Drama,Music",Kevin Moze,10.0,5
actress,movie,Anne and Andy,0,2017,110,"Drama,Music",Marilyn Bass,10.0,5
actor,movie,Anne and Andy,0,2017,110,"Drama,Music",Anatole Odolant,10.0,5
actress,movie,Noble Vision,0,2024,\N,Drama,Megan Arrington,10.0,8
actor,movie,Noble Vision,0,2024,\N,Drama,Jeff Angel,10.0,8
actress,movie,Serpentine Pink,0,2022,\N,"Comedy,Drama,Thriller",Sabina Zuniga Varela,10.0,11
actress,movie,Serpentine Pink,0,2022,\N,"Comedy,Drama,Thriller",Kristin Condon,10.0,11
actress,movie,Serpentine Pink,0,2022,\N,"Comedy,Drama,Thriller",O-Lan Jones,10.0,11
actress,movie,Serpentine Pink,0,2022,\N,"Comedy,Drama,Thriller",Joy Nash,10.0,11
actor,movie,Serpentine Pink,0,2022,\N,"Comedy,Drama,Thriller",Ron Hanks,10.0,11
actor,movie,Noble Vision,0,2024,\N,Drama,Robert Moore,10.0,8
actress,movie,Noble Vision,0,2024,\N,Drama,Jennifer Johansen,10.0,8
actor,movie,Noble Vision,0,2024,\N,Drama,David Wesley Marlowe,10.0,8
actor,movie,Noble Vision,0,2024,\N,Drama,Bill Simmons,10.0,8
actor,movie,Ashes to Ashes,0,2021,49,Documentary,Jeffrey Daniel Herrell,10.0,7
actor,movie,Anne and Andy,0,2017,110,"Drama,Music",Mark Beers,10.0,5
actor,movie,Anne and Andy,0,2017,110,"Drama,Music",Frank Agro,10.0,5
actor,movie,Noble Vision,0,2024,\N,Drama,D. Paul Thomas,10.0,8
actress,movie,Noble Vision,0,2024,\N,Drama,Afton Shepard,10.0,8
actress,movie,Noble Vision,0,2024,\N,Drama,Rayna Wilson,10.0,8
actress,movie,Noble Vision,0,2024,\N,Drama,Rayna Wilson,10.0,8
actor,movie,Noble Vision,0,2024,\N,Drama,Michael Rubenstone,10.0,8
actor,movie,Rijali,0,2020,56,Drama,Salehe Goma,10.0,7
actor,movie,Rijali,0,2020,56,Drama,Ancle Adamu,10.0,7
actor,movie,BBC on Trial,0,2024,\N,Documentary,Ruchir Sharma,10.0,12
actor,movie,BBC on Trial,0,2024,\N,Documentary,Kapil Dudakia,10.0,12
actor,movie,The Haunting of Hollywood,0,2024,85,"Drama,Mystery,Thriller",Ivan Allen,10.0,13
actor,movie,The Haunting of Hollywood,0,2024,85,"Drama,Mystery,Thriller",David Lami Friebe,10.0,13
actor,movie,The Haunting of Hollywood,0,2024,85,"Drama,Mystery,Thriller",Jean Burnquist,10.0,13
actress,movie,Blind Surfer with Pete Gustin,0,2020,\N,Reality-TV,Maggie Carpenter,10.0,8
actor,movie,Zayed's Antarctic Lights,0,2018,57,Documentary,Robert Swan,10.0,11
actress,movie,Zayed's Antarctic Lights,0,2018,57,Documentary,Jane Goodall,10.0,11
